locus,gene,type,name
DFNA1,DIAPH1,autosomal_dom_NSHL,NA
DFNA2A,KCNQ4,autosomal_dom_NSHL,NA
DFNA2B,GJB3 ,autosomal_dom_NSHL,NA
DFNA2C,IFNLR1,autosomal_dom_NSHL,NA
DFNA3A,GJB2 ,autosomal_dom_NSHL,NA
DFNA3B,GJB6 ,autosomal_dom_NSHL,NA
DFNA4A,MYH14,autosomal_dom_NSHL,NA
DFNA4B,CEACAM16,autosomal_dom_NSHL,NA
DFNA5,GSDME,autosomal_dom_NSHL,NA
DFNA5,DFNA5,autosomal_dom_NSHL,NA
DFNA6.14.38,WFS1,autosomal_dom_NSHL,NA
DFNA7,LMX1A,autosomal_dom_NSHL,NA
DFNA8.12,TECTA,autosomal_dom_NSHL,NA
DFNA9,COCH,autosomal_dom_NSHL,NA
DFNA10,EYA4,autosomal_dom_NSHL,NA
DFNA11,MYO7A,autosomal_dom_NSHL,NA
DFNA13,COL11A2,autosomal_dom_NSHL,NA
DFNA15,POU4F3,autosomal_dom_NSHL,NA
DFNA17,MYH9,autosomal_dom_NSHL,NA
DFNA20.26,ACTG1,autosomal_dom_NSHL,NA
DFNA22,MYO6,autosomal_dom_NSHL,NA
DFNA23,SIX1,autosomal_dom_NSHL,NA
DFNA25,SLC17A8,autosomal_dom_NSHL,NA
DFNA27,REST,autosomal_dom_NSHL,NA
DFNA28,GRHL2 ,autosomal_dom_NSHL,NA
DFNA34,NLRP3,autosomal_dom_NSHL,NA
DFNA36,TMC1,autosomal_dom_NSHL,NA
DFNA37,COL11A1,autosomal_dom_NSHL,NA
DFNA40,CRYM,autosomal_dom_NSHL,NA
DFNA41,P2RX2,autosomal_dom_NSHL,NA
DFNA44,CCDC50,autosomal_dom_NSHL,NA
DFNA50,MIRN96,autosomal_dom_NSHL,NA
DFNA51,TJP2,autosomal_dom_NSHL,NA
DFNA56,TNC,autosomal_dom_NSHL,NA
DFNA64,SMAC.DIABLO,autosomal_dom_NSHL,NA
DFNA65,TBC1D24,autosomal_dom_NSHL,NA
DFNA66,CD164,autosomal_dom_NSHL,NA
DFNA67,OSBPL2,autosomal_dom_NSHL,NA
DFNA68 ,HOMER2,autosomal_dom_NSHL,NA
DFNA69,KITLG,autosomal_dom_NSHL,NA
DFNA70 ,MCM2,autosomal_dom_NSHL,NA
DFNA73,PTPRQ,autosomal_dom_NSHL,NA
NA,DMXL2,autosomal_dom_NSHL,NA
NA,MYO3A,autosomal_dom_NSHL,NA
NA,PDE1C,autosomal_dom_NSHL,NA
NA,TRRAP,autosomal_dom_NSHL,NA
NA,PLS1,autosomal_dom_NSHL,NA
NA,SCD5,autosomal_dom_NSHL,NA
NA,SLC12A2,autosomal_dom_NSHL,NA
NA,MAP1B,autosomal_dom_NSHL,NA
DFNB1A,GJB2,autosomal_rec_NSHL,NA
DFNB1B,GJB6,autosomal_rec_NSHL,NA
DFNB2,MYO7A,autosomal_rec_NSHL,NA
DFNB3,MYO15A,autosomal_rec_NSHL,NA
DFNB4,SLC26A4,autosomal_rec_NSHL,NA
DFNB6,TMIE,autosomal_rec_NSHL,NA
DFNB7.11,TMC1,autosomal_rec_NSHL,NA
DFNB8.10,TMPRSS3,autosomal_rec_NSHL,NA
DFNB9,OTOF,autosomal_rec_NSHL,NA
DFNB12,CDH23,autosomal_rec_NSHL,NA
DFNB15.72.95,GIPC3,autosomal_rec_NSHL,NA
DFNB16,STRC,autosomal_rec_NSHL,NA
DFNB18,USH1C,autosomal_rec_NSHL,NA
DFNB18B,OTOG,autosomal_rec_NSHL,NA
DFNB21,TECTA,autosomal_rec_NSHL,NA
DFNB22,OTOA,autosomal_rec_NSHL,NA
DFNB23,PCDH15,autosomal_rec_NSHL,NA
DFNB24,RDX,autosomal_rec_NSHL,NA
DFNB25,GRXCR1,autosomal_rec_NSHL,NA
DFNB26,GAB1,autosomal_rec_NSHL,NA
DFNB28,TRIOBP,autosomal_rec_NSHL,NA
DFNB29,CLDN14,autosomal_rec_NSHL,NA
DFNB30,MYO3A,autosomal_rec_NSHL,NA
DFNB31,WHRN,autosomal_rec_NSHL,NA
DFNB32.105,CDC14A,autosomal_rec_NSHL,NA
DFNB35,ESRRB,autosomal_rec_NSHL,NA
DFNB36,ESPN,autosomal_rec_NSHL,NA
DFNB37,MYO6,autosomal_rec_NSHL,NA
DFNB39,HGF,autosomal_rec_NSHL,NA
