locus,gene_h,gene,type,name
DFNA1,DIAPH1,Diaph1,autosomal_dom_NSHL,NA
DFNA2A,KCNQ4,Kcnq4,autosomal_dom_NSHL,NA
DFNA2B,GJB3,Gjb3,autosomal_dom_NSHL,NA
DFNA2C,IFNLR1,Ifnlr1,autosomal_dom_NSHL,NA
DFNA3A,GJB2,Gjb2,autosomal_dom_NSHL,NA
DFNA3B,GJB6,Gjb6,autosomal_dom_NSHL,NA
DFNA4A,MYH14,Myh14,autosomal_dom_NSHL,NA
DFNA4B,CEACAM16,Ceacam16,autosomal_dom_NSHL,NA
DFNA5,GSDME,Gsdme,autosomal_dom_NSHL,NA
DFNA5,DFNA5,Gsdme,autosomal_dom_NSHL,NA
DFNA6.14.38,WFS1,Wfs1,autosomal_dom_NSHL,NA
DFNA7,LMX1A,Lmx1a,autosomal_dom_NSHL,NA
DFNA8.12,TECTA,Tecta,autosomal_dom_NSHL,NA
DFNA9,COCH,Coch,autosomal_dom_NSHL,NA
DFNA10,EYA4,Eya4,autosomal_dom_NSHL,NA
DFNA11,MYO7A,Myo7a,autosomal_dom_NSHL,NA
DFNA13,COL11A2,Col11a2,autosomal_dom_NSHL,NA
DFNA15,POU4F3,Pou4f3,autosomal_dom_NSHL,NA
DFNA17,MYH9,Myh9,autosomal_dom_NSHL,NA
DFNA20.26,ACTG1,Actg1,autosomal_dom_NSHL,NA
DFNA22,MYO6,Myo6,autosomal_dom_NSHL,NA
DFNA23,SIX1,Six1,autosomal_dom_NSHL,NA
DFNA25,SLC17A8,Slc17a8,autosomal_dom_NSHL,NA
DFNA27,REST,Rest,autosomal_dom_NSHL,NA
DFNA28,GRHL2,Grhl2,autosomal_dom_NSHL,NA
DFNA34,NLRP3,Nlrp3,autosomal_dom_NSHL,NA
DFNA36,TMC1,Tmc1,autosomal_dom_NSHL,NA
DFNA37,COL11A1,Col11a1,autosomal_dom_NSHL,NA
DFNA40,CRYM,Crym,autosomal_dom_NSHL,NA
DFNA41,P2RX2,P2rx2,autosomal_dom_NSHL,NA
DFNA44,CCDC50,Ccdc50,autosomal_dom_NSHL,NA
